Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-Apr-2024,EQ,483.95,485.25,475.2,479.9,476.2,475.8,480.0,545.9,352.0,"79,00,625","3,79,23,12,304.20","94,664"
08-Apr-2024,EQ,490.0,491.6,478.2,485.05,480.25,479.9,481.97,545.9,352.0,"1,33,20,385","6,42,00,41,980.50","1,58,947"
05-Apr-2024,EQ,486.5,487.15,482.55,487.4,485.0,485.05,485.12,545.9,352.0,"32,07,172","1,55,58,58,117.10","67,428"
04-Apr-2024,EQ,485.8,491.95,479.6,483.2,489.0,487.4,486.02,545.9,352.0,"80,02,023","3,88,91,52,033.00","1,33,925"
03-Apr-2024,EQ,480.0,487.7,475.95,481.2,483.75,483.2,483.26,545.9,352.0,"68,97,258","3,33,31,43,126.20","89,528"
02-Apr-2024,EQ,481.95,482.7,479.6,484.95,481.65,481.2,480.97,545.9,352.0,"34,66,327","1,66,71,89,630.65","60,299"
01-Apr-2024,EQ,483.7,486.4,481.55,480.1,485.1,484.95,484.07,545.9,352.0,"30,20,504","1,46,21,49,401.65","54,843"
28-Mar-2024,EQ,476.7,483.05,475.3,472.3,480.0,480.1,479.46,545.9,352.0,"77,27,575","3,70,50,31,323.15","1,16,396"
27-Mar-2024,EQ,479.7,480.95,471.25,479.85,472.0,472.3,475.86,545.9,352.0,"71,60,334","3,40,73,35,199.95","1,32,362"
26-Mar-2024,EQ,486.0,490.95,479.05,487.1,479.9,479.85,482.46,545.9,352.0,"91,36,673","4,40,81,01,326.90","1,35,593"
22-Mar-2024,EQ,489.25,490.75,479.55,500.45,488.15,487.1,485.76,545.9,352.0,"1,43,23,251","6,95,77,32,104.45","2,13,879"
21-Mar-2024,EQ,499.65,505.3,498.45,493.5,501.0,500.45,501.64,545.9,352.0,"58,22,290","2,92,06,74,298.90","1,25,870"
20-Mar-2024,EQ,496.05,501.25,489.2,494.85,494.1,493.5,494.36,545.9,352.0,"41,92,672","2,07,26,97,556.55","93,190"
19-Mar-2024,EQ,509.0,509.0,493.15,510.2,494.05,494.85,500.12,545.9,352.0,"48,08,693","2,40,49,22,101.70","1,00,950"
18-Mar-2024,EQ,518.0,518.55,509.0,517.0,510.0,510.2,512.48,545.9,352.0,"31,96,980","1,63,83,84,109.40","74,628"
15-Mar-2024,EQ,514.75,518.25,506.4,517.95,515.05,517.0,514.17,545.9,352.0,"68,24,543","3,50,89,48,810.80","1,20,822"
14-Mar-2024,EQ,501.15,518.9,495.15,504.4,516.7,517.95,510.75,545.9,352.0,"64,12,736","3,27,52,92,245.50","1,31,382"
13-Mar-2024,EQ,513.8,518.7,496.8,510.85,503.3,504.4,507.97,545.9,352.0,"67,90,240","3,44,92,51,500.10","1,31,621"
12-Mar-2024,EQ,512.75,522.5,507.75,514.55,510.35,510.85,514.32,545.9,352.0,"58,26,380","2,99,66,41,599.75","1,11,713"
11-Mar-2024,EQ,517.4,518.95,512.3,515.5,513.35,514.55,515.88,545.9,352.0,"55,65,756","2,87,12,72,596.85","1,00,543"
07-Mar-2024,EQ,513.75,520.4,510.5,513.15,514.4,515.5,515.79,545.9,352.0,"48,53,991","2,50,36,34,427.65","90,688"
06-Mar-2024,EQ,513.7,514.85,500.0,513.3,513.7,513.15,507.3,545.9,352.0,"55,45,961","2,81,34,60,342.15","1,06,018"
05-Mar-2024,EQ,517.75,520.5,510.65,520.5,512.95,513.3,514.68,545.9,352.0,"52,60,774","2,70,75,97,916.35","1,02,449"
04-Mar-2024,EQ,522.95,526.4,518.55,522.85,520.45,520.5,522.04,545.9,352.0,"28,31,185","1,47,79,78,691.80","70,787"
02-Mar-2024,EQ,523.45,524.8,522.0,519.1,523.0,522.85,523.18,545.9,352.0,"3,40,134","17,79,52,735.70","8,551"
01-Mar-2024,EQ,522.4,525.2,517.55,518.6,519.25,519.1,519.93,545.9,352.0,"47,10,315","2,44,90,24,179.70","1,01,604"
29-Feb-2024,EQ,517.3,524.25,513.2,517.7,521.0,518.6,518.18,545.9,352.0,"72,31,382","3,74,71,58,471.15","1,26,016"
28-Feb-2024,EQ,530.0,530.95,515.0,531.45,515.8,517.7,522.69,545.9,352.0,"63,94,528","3,34,23,69,685.30","1,54,136"
27-Feb-2024,EQ,534.0,537.4,527.55,532.9,531.1,531.45,532.4,545.9,352.0,"51,99,630","2,76,82,62,998.75","1,06,972"
26-Feb-2024,EQ,536.25,536.5,526.05,536.15,531.5,532.9,530.97,545.9,352.0,"44,10,318","2,34,17,63,075.15","1,21,022"
23-Feb-2024,EQ,535.0,541.25,533.3,531.05,534.4,536.15,536.4,545.9,352.0,"99,30,497","5,32,67,58,973.40","1,51,667"
22-Feb-2024,EQ,522.8,533.0,521.45,521.4,530.8,531.05,526.59,545.9,352.0,"72,98,241","3,84,31,47,169.20","1,58,061"
21-Feb-2024,EQ,535.9,536.3,519.5,531.95,521.0,521.4,526.81,545.9,352.0,"65,57,787","3,45,47,23,748.55","1,37,819"
20-Feb-2024,EQ,535.8,538.15,526.25,535.95,531.95,531.95,532.53,545.9,352.0,"51,87,063","2,76,22,43,913.00","1,23,368"
19-Feb-2024,EQ,545.9,545.9,531.35,543.0,536.0,535.95,537.98,545.9,352.0,"93,01,379","5,00,39,65,091.35","1,52,421"
16-Feb-2024,EQ,522.5,545.0,520.95,518.5,541.95,543.0,535.12,545.0,352.0,"1,74,71,322","9,34,92,29,002.00","2,57,984"
15-Feb-2024,EQ,516.95,522.85,513.05,514.5,517.7,518.5,518.83,529.0,352.0,"72,85,388","3,77,99,13,374.25","1,39,433"
14-Feb-2024,EQ,503.95,517.0,497.05,511.6,512.75,514.5,507.88,529.0,352.0,"1,12,97,328","5,73,76,87,587.40","1,38,332"
13-Feb-2024,EQ,503.1,513.0,491.7,501.45,511.5,511.6,504.28,529.0,352.0,"1,11,86,788","5,64,12,64,185.90","1,38,027"
12-Feb-2024,EQ,491.0,510.8,491.0,490.45,501.15,501.45,504.66,529.0,352.0,"2,44,36,750","12,33,21,75,483.15","2,70,583"
09-Feb-2024,EQ,490.9,494.75,482.75,488.85,491.0,490.45,488.69,529.0,352.0,"39,46,894","1,92,88,09,821.30","98,190"
08-Feb-2024,EQ,495.9,500.1,485.1,495.2,489.0,488.85,492.54,529.0,352.0,"56,51,920","2,78,37,94,237.35","1,32,052"
07-Feb-2024,EQ,500.95,501.7,492.55,499.65,495.1,495.2,496.51,529.0,352.0,"45,51,767","2,26,00,05,484.70","98,302"
06-Feb-2024,EQ,484.7,501.8,483.1,482.35,499.45,499.65,496.86,529.0,352.0,"1,45,12,019","7,21,04,61,310.90","2,06,606"
05-Feb-2024,EQ,483.0,489.5,479.15,483.15,482.5,482.35,484.49,529.0,352.0,"57,83,302","2,80,19,49,885.55","1,04,970"
